;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 26/02/2016 17:42:36
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_Delays.c,11 :: 		void Delay_10us() {
;__Lib_Delays.c,12 :: 		Delay_us(10);
0x0085	0x3006      	MOVLW      6
0x0086	0x1283      	BCF        STATUS, 5
0x0087	0x1303      	BCF        STATUS, 6
0x0088	0x00FD      	MOVWF      R13
L_Delay_10us0:
0x0089	0x0BFD      	DECFSZ     R13, 1
0x008A	0x2889      	GOTO       L_Delay_10us0
0x008B	0x0000      	NOP
;__Lib_Delays.c,13 :: 		}
L_end_Delay_10us:
0x008C	0x0008      	RETURN
; end of _Delay_10us
_Mul_16x16_U:
;__Lib_Math.c,136 :: 		
;__Lib_Math.c,143 :: 		
0x008D	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,144 :: 		
0x008E	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,145 :: 		
0x008F	0x01FB      	CLRF       R11
;__Lib_Math.c,146 :: 		
0x0090	0x01FA      	CLRF       R10
;__Lib_Math.c,147 :: 		
0x0091	0x01F9      	CLRF       R9
;__Lib_Math.c,148 :: 		
0x0092	0x3080      	MOVLW      128
;__Lib_Math.c,149 :: 		
0x0093	0x00F8      	MOVWF      R8
;__Lib_Math.c,150 :: 		
0x0094	0x0CF1      	RRF        R1, 1
;__Lib_Math.c,151 :: 		
0x0095	0x0CF0      	RRF        R0, 1
;__Lib_Math.c,152 :: 		
0x0096	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,153 :: 		
0x0097	0x28A1      	GOTO       $+10
;__Lib_Math.c,154 :: 		
0x0098	0x0874      	MOVF       R4, 0
;__Lib_Math.c,155 :: 		
0x0099	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,156 :: 		
0x009A	0x0875      	MOVF       R5, 0
;__Lib_Math.c,157 :: 		
0x009B	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,158 :: 		
0x009C	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,159 :: 		
0x009D	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,160 :: 		
0x009E	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,161 :: 		
0x009F	0x0AFB      	INCF       R11, 1
;__Lib_Math.c,162 :: 		
0x00A0	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,163 :: 		
0x00A1	0x1FF0      	BTFSS      R0, 7
;__Lib_Math.c,164 :: 		
0x00A2	0x28A9      	GOTO       $+7
;__Lib_Math.c,165 :: 		
0x00A3	0x0874      	MOVF       R4, 0
;__Lib_Math.c,166 :: 		
0x00A4	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,167 :: 		
0x00A5	0x0875      	MOVF       R5, 0
;__Lib_Math.c,168 :: 		
0x00A6	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,169 :: 		
0x00A7	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,170 :: 		
0x00A8	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,171 :: 		
0x00A9	0x0CFB      	RRF        R11, 1
;__Lib_Math.c,172 :: 		
0x00AA	0x0CFA      	RRF        R10, 1
;__Lib_Math.c,173 :: 		
0x00AB	0x0CF9      	RRF        R9, 1
;__Lib_Math.c,174 :: 		
0x00AC	0x0CF8      	RRF        R8, 1
;__Lib_Math.c,175 :: 		
0x00AD	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,176 :: 		
0x00AE	0x2894      	GOTO       $-26
;__Lib_Math.c,177 :: 		
0x00AF	0x087B      	MOVF       R11, 0
;__Lib_Math.c,178 :: 		
0x00B0	0x00F3      	MOVWF      R3
;__Lib_Math.c,179 :: 		
0x00B1	0x087A      	MOVF       R10, 0
;__Lib_Math.c,180 :: 		
0x00B2	0x00F2      	MOVWF      R2
;__Lib_Math.c,181 :: 		
0x00B3	0x0879      	MOVF       R9, 0
;__Lib_Math.c,182 :: 		
0x00B4	0x00F1      	MOVWF      R1
;__Lib_Math.c,183 :: 		
0x00B5	0x0878      	MOVF       R8, 0
;__Lib_Math.c,184 :: 		
0x00B6	0x00F0      	MOVWF      R0
;__Lib_Math.c,187 :: 		
L_end_Mul_16x16_U:
0x00B7	0x0008      	RETURN
; end of _Mul_16x16_U
_Keypad_Key_Press:
;__Lib_Keypad4x4.c,38 :: 		
;__Lib_Keypad4x4.c,42 :: 		
0x00B8	0x1683      	BSF        STATUS, 5
0x00B9	0x1303      	BCF        STATUS, 6
0x00BA	0x01D8      	CLRF       Keypad_Key_Press_rslt_L0
;__Lib_Keypad4x4.c,43 :: 		
0x00BB	0x01DA      	CLRF       Keypad_Key_Press_loc_L0
;__Lib_Keypad4x4.c,44 :: 		
0x00BC	0x01DB      	CLRF       Keypad_Key_Press_rowcnt_L0
;__Lib_Keypad4x4.c,45 :: 		
0x00BD	0x3010      	MOVLW      16
0x00BE	0x00DC      	MOVWF      Keypad_Key_Press_shifter_L0
;__Lib_Keypad4x4.c,47 :: 		
L_Keypad_Key_Press0:
0x00BF	0x3004      	MOVLW      4
0x00C0	0x025B      	SUBWF      Keypad_Key_Press_rowcnt_L0, 0
0x00C1	0x1803      	BTFSC      STATUS, 0
0x00C2	0x28E6      	GOTO       L_Keypad_Key_Press1
;__Lib_Keypad4x4.c,49 :: 		
0x00C3	0x30F0      	MOVLW      240
0x00C4	0x1283      	BCF        STATUS, 5
0x00C5	0x0088      	MOVWF      keypadPort
;__Lib_Keypad4x4.c,50 :: 		
0x00C6	0x1683      	BSF        STATUS, 5
0x00C7	0x095C      	COMF       Keypad_Key_Press_shifter_L0, 0
0x00C8	0x0088      	MOVWF      keypadPort+128
;__Lib_Keypad4x4.c,54 :: 		
0x00C9	0x207B      	CALL       _Delay_1us
;__Lib_Keypad4x4.c,55 :: 		
0x00CA	0x207B      	CALL       _Delay_1us
;__Lib_Keypad4x4.c,56 :: 		
0x00CB	0x300F      	MOVLW      15
0x00CC	0x1283      	BCF        STATUS, 5
0x00CD	0x0508      	ANDWF      keypadPort, 0
0x00CE	0x00F0      	MOVWF      R0
0x00CF	0x0870      	MOVF       R0, 0
0x00D0	0x1683      	BSF        STATUS, 5
0x00D1	0x00D9      	MOVWF      Keypad_Key_Press_kdata_L0
;__Lib_Keypad4x4.c,57 :: 		
0x00D2	0x0870      	MOVF       R0, 0
0x00D3	0x1903      	BTFSC      STATUS, 2
0x00D4	0x28E0      	GOTO       L_Keypad_Key_Press2
;__Lib_Keypad4x4.c,59 :: 		
0x00D5	0x085A      	MOVF       Keypad_Key_Press_loc_L0, 0
0x00D6	0x00D8      	MOVWF      Keypad_Key_Press_rslt_L0
;__Lib_Keypad4x4.c,60 :: 		
L_Keypad_Key_Press3:
0x00D7	0x0859      	MOVF       Keypad_Key_Press_kdata_L0, 0
0x00D8	0x1903      	BTFSC      STATUS, 2
0x00D9	0x28DE      	GOTO       L_Keypad_Key_Press4
;__Lib_Keypad4x4.c,61 :: 		
0x00DA	0x0CD9      	RRF        Keypad_Key_Press_kdata_L0, 1
0x00DB	0x13D9      	BCF        Keypad_Key_Press_kdata_L0, 7
;__Lib_Keypad4x4.c,62 :: 		
0x00DC	0x0AD8      	INCF       Keypad_Key_Press_rslt_L0, 1
;__Lib_Keypad4x4.c,63 :: 		
0x00DD	0x28D7      	GOTO       L_Keypad_Key_Press3
L_Keypad_Key_Press4:
;__Lib_Keypad4x4.c,65 :: 		
0x00DE	0x3004      	MOVLW      4
0x00DF	0x00DB      	MOVWF      Keypad_Key_Press_rowcnt_L0
;__Lib_Keypad4x4.c,66 :: 		
L_Keypad_Key_Press2:
;__Lib_Keypad4x4.c,67 :: 		
0x00E0	0x0DDC      	RLF        Keypad_Key_Press_shifter_L0, 1
0x00E1	0x105C      	BCF        Keypad_Key_Press_shifter_L0, 0
;__Lib_Keypad4x4.c,68 :: 		
0x00E2	0x3004      	MOVLW      4
0x00E3	0x07DA      	ADDWF      Keypad_Key_Press_loc_L0, 1
;__Lib_Keypad4x4.c,69 :: 		
0x00E4	0x0ADB      	INCF       Keypad_Key_Press_rowcnt_L0, 1
;__Lib_Keypad4x4.c,70 :: 		
0x00E5	0x28BF      	GOTO       L_Keypad_Key_Press0
L_Keypad_Key_Press1:
;__Lib_Keypad4x4.c,72 :: 		
0x00E6	0x0858      	MOVF       Keypad_Key_Press_rslt_L0, 0
0x00E7	0x00F0      	MOVWF      R0
;__Lib_Keypad4x4.c,73 :: 		
L_end_Keypad_Key_Press:
0x00E8	0x0008      	RETURN
; end of _Keypad_Key_Press
_Lcd_Cmd:
;__Lib_Lcd.c,18 :: 		
;__Lib_Lcd.c,20 :: 		
0x00E9	0x1683      	BSF        STATUS, 5
0x00EA	0x1303      	BCF        STATUS, 6
0x00EB	0x1BD8      	BTFSC      FARG_Lcd_Cmd_out_char, 7
0x00EC	0x28F0      	GOTO       L__Lcd_Cmd21
0x00ED	0x1283      	BCF        STATUS, 5
0x00EE	0x1185      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x00EF	0x28F2      	GOTO       L__Lcd_Cmd22
L__Lcd_Cmd21:
0x00F0	0x1283      	BCF        STATUS, 5
0x00F1	0x1585      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd22:
;__Lib_Lcd.c,21 :: 		
0x00F2	0x1683      	BSF        STATUS, 5
0x00F3	0x1B58      	BTFSC      FARG_Lcd_Cmd_out_char, 6
0x00F4	0x28F8      	GOTO       L__Lcd_Cmd23
0x00F5	0x1283      	BCF        STATUS, 5
0x00F6	0x1105      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x00F7	0x28FA      	GOTO       L__Lcd_Cmd24
L__Lcd_Cmd23:
0x00F8	0x1283      	BCF        STATUS, 5
0x00F9	0x1505      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd24:
;__Lib_Lcd.c,22 :: 		
0x00FA	0x1683      	BSF        STATUS, 5
0x00FB	0x1AD8      	BTFSC      FARG_Lcd_Cmd_out_char, 5
0x00FC	0x2900      	GOTO       L__Lcd_Cmd25
0x00FD	0x1283      	BCF        STATUS, 5
0x00FE	0x1085      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x00FF	0x2902      	GOTO       L__Lcd_Cmd26
L__Lcd_Cmd25:
0x0100	0x1283      	BCF        STATUS, 5
0x0101	0x1485      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd26:
;__Lib_Lcd.c,23 :: 		
0x0102	0x1683      	BSF        STATUS, 5
0x0103	0x1A58      	BTFSC      FARG_Lcd_Cmd_out_char, 4
0x0104	0x2908      	GOTO       L__Lcd_Cmd27
0x0105	0x1283      	BCF        STATUS, 5
0x0106	0x1005      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x0107	0x290A      	GOTO       L__Lcd_Cmd28
L__Lcd_Cmd27:
0x0108	0x1283      	BCF        STATUS, 5
0x0109	0x1405      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd28:
;__Lib_Lcd.c,25 :: 		
0x010A	0x1683      	BSF        STATUS, 5
0x010B	0x1850      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x010C	0x2910      	GOTO       L__Lcd_Cmd29
0x010D	0x1283      	BCF        STATUS, 5
0x010E	0x1685      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x010F	0x2912      	GOTO       L__Lcd_Cmd30
L__Lcd_Cmd29:
0x0110	0x1283      	BCF        STATUS, 5
0x0111	0x1285      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd30:
;__Lib_Lcd.c,28 :: 		
0x0112	0x1605      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,29 :: 		
0x0113	0x207B      	CALL       _Delay_1us
;__Lib_Lcd.c,30 :: 		
0x0114	0x1205      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,33 :: 		
0x0115	0x1683      	BSF        STATUS, 5
0x0116	0x19D8      	BTFSC      FARG_Lcd_Cmd_out_char, 3
0x0117	0x291B      	GOTO       L__Lcd_Cmd31
0x0118	0x1283      	BCF        STATUS, 5
0x0119	0x1185      	BCF        LCD_D7, BitPos(LCD_D7+0)
0x011A	0x291D      	GOTO       L__Lcd_Cmd32
L__Lcd_Cmd31:
0x011B	0x1283      	BCF        STATUS, 5
0x011C	0x1585      	BSF        LCD_D7, BitPos(LCD_D7+0)
L__Lcd_Cmd32:
;__Lib_Lcd.c,34 :: 		
0x011D	0x1683      	BSF        STATUS, 5
0x011E	0x1958      	BTFSC      FARG_Lcd_Cmd_out_char, 2
0x011F	0x2923      	GOTO       L__Lcd_Cmd33
0x0120	0x1283      	BCF        STATUS, 5
0x0121	0x1105      	BCF        LCD_D6, BitPos(LCD_D6+0)
0x0122	0x2925      	GOTO       L__Lcd_Cmd34
L__Lcd_Cmd33:
0x0123	0x1283      	BCF        STATUS, 5
0x0124	0x1505      	BSF        LCD_D6, BitPos(LCD_D6+0)
L__Lcd_Cmd34:
;__Lib_Lcd.c,35 :: 		
0x0125	0x1683      	BSF        STATUS, 5
0x0126	0x18D8      	BTFSC      FARG_Lcd_Cmd_out_char, 1
0x0127	0x292B      	GOTO       L__Lcd_Cmd35
0x0128	0x1283      	BCF        STATUS, 5
0x0129	0x1085      	BCF        LCD_D5, BitPos(LCD_D5+0)
0x012A	0x292D      	GOTO       L__Lcd_Cmd36
L__Lcd_Cmd35:
0x012B	0x1283      	BCF        STATUS, 5
0x012C	0x1485      	BSF        LCD_D5, BitPos(LCD_D5+0)
L__Lcd_Cmd36:
;__Lib_Lcd.c,36 :: 		
0x012D	0x1683      	BSF        STATUS, 5
0x012E	0x1858      	BTFSC      FARG_Lcd_Cmd_out_char, 0
0x012F	0x2933      	GOTO       L__Lcd_Cmd37
0x0130	0x1283      	BCF        STATUS, 5
0x0131	0x1005      	BCF        LCD_D4, BitPos(LCD_D4+0)
0x0132	0x2935      	GOTO       L__Lcd_Cmd38
L__Lcd_Cmd37:
0x0133	0x1283      	BCF        STATUS, 5
0x0134	0x1405      	BSF        LCD_D4, BitPos(LCD_D4+0)
L__Lcd_Cmd38:
;__Lib_Lcd.c,38 :: 		
0x0135	0x1683      	BSF        STATUS, 5
0x0136	0x1850      	BTFSC      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0137	0x293B      	GOTO       L__Lcd_Cmd39
0x0138	0x1283      	BCF        STATUS, 5
0x0139	0x1685      	BSF        LCD_RS, BitPos(LCD_RS+0)
0x013A	0x293D      	GOTO       L__Lcd_Cmd40
L__Lcd_Cmd39:
0x013B	0x1283      	BCF        STATUS, 5
0x013C	0x1285      	BCF        LCD_RS, BitPos(LCD_RS+0)
L__Lcd_Cmd40:
;__Lib_Lcd.c,40 :: 		
0x013D	0x1605      	BSF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,41 :: 		
0x013E	0x207B      	CALL       _Delay_1us
;__Lib_Lcd.c,42 :: 		
0x013F	0x1205      	BCF        LCD_EN, BitPos(LCD_EN+0)
;__Lib_Lcd.c,44 :: 		
0x0140	0x1683      	BSF        STATUS, 5
0x0141	0x1C50      	BTFSS      __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
0x0142	0x2945      	GOTO       L_Lcd_Cmd0
;__Lib_Lcd.c,45 :: 		
0x0143	0x206E      	CALL       _Delay_5500us
0x0144	0x2946      	GOTO       L_Lcd_Cmd1
L_Lcd_Cmd0:
;__Lib_Lcd.c,47 :: 		
0x0145	0x207E      	CALL       _Delay_50us
L_Lcd_Cmd1:
;__Lib_Lcd.c,48 :: 		
L_end_Lcd_Cmd:
0x0146	0x0008      	RETURN
; end of _Lcd_Cmd
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x0147	0x1283      	BCF        STATUS, 5
0x0148	0x1303      	BCF        STATUS, 6
0x0149	0x0867      	MOVF       ___DoICPAddr+1, 0
0x014A	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x014B	0x0866      	MOVF       ___DoICPAddr, 0
0x014C	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x014D	0x0008      	RETURN
; end of _____DoICP
_PWM1_Start:
;__Lib_PWM_c21.c,51 :: 		
;__Lib_PWM_c21.c,52 :: 		
0x014E	0x1683      	BSF        STATUS, 5
0x014F	0x1303      	BCF        STATUS, 6
0x0150	0x1107      	BCF        TRISC2_bit, 2
;__Lib_PWM_c21.c,53 :: 		
0x0151	0x1283      	BCF        STATUS, 5
0x0152	0x1512      	BSF        T2CON, 2
;__Lib_PWM_c21.c,54 :: 		
0x0153	0x300C      	MOVLW      12
0x0154	0x0497      	IORWF      CCP1CON, 1
;__Lib_PWM_c21.c,55 :: 		
L_end_PWM1_Start:
0x0155	0x0008      	RETURN
; end of _PWM1_Start
_teclado:
;servir.c,232 :: 		unsigned short teclado (unsigned short kp) {
;servir.c,233 :: 		switch (kp) {
0x0156	0x2989      	GOTO       L_teclado78
;servir.c,234 :: 		case  1: return 49; break; // 1
L_teclado80:
0x0157	0x3031      	MOVLW      49
0x0158	0x1283      	BCF        STATUS, 5
0x0159	0x1303      	BCF        STATUS, 6
0x015A	0x00F0      	MOVWF      R0
0x015B	0x29CB      	GOTO       L_end_teclado
;servir.c,235 :: 		case  2: return 50; break; // 2
L_teclado81:
0x015C	0x3032      	MOVLW      50
0x015D	0x00F0      	MOVWF      R0
0x015E	0x29CB      	GOTO       L_end_teclado
;servir.c,236 :: 		case  3: return 51; break; // 3
L_teclado82:
0x015F	0x3033      	MOVLW      51
0x0160	0x00F0      	MOVWF      R0
0x0161	0x29CB      	GOTO       L_end_teclado
;servir.c,237 :: 		case  4: return 65; break; // A
L_teclado83:
0x0162	0x3041      	MOVLW      65
0x0163	0x00F0      	MOVWF      R0
0x0164	0x29CB      	GOTO       L_end_teclado
;servir.c,238 :: 		case  5: return 52; break; // 4
L_teclado84:
0x0165	0x3034      	MOVLW      52
0x0166	0x00F0      	MOVWF      R0
0x0167	0x29CB      	GOTO       L_end_teclado
;servir.c,239 :: 		case  6: return 53; break; // 5
L_teclado85:
0x0168	0x3035      	MOVLW      53
0x0169	0x00F0      	MOVWF      R0
0x016A	0x29CB      	GOTO       L_end_teclado
;servir.c,240 :: 		case  7: return 54; break; // 6
L_teclado86:
0x016B	0x3036      	MOVLW      54
0x016C	0x00F0      	MOVWF      R0
0x016D	0x29CB      	GOTO       L_end_teclado
;servir.c,241 :: 		case  8: return 66; break; // B
L_teclado87:
0x016E	0x3042      	MOVLW      66
0x016F	0x00F0      	MOVWF      R0
0x0170	0x29CB      	GOTO       L_end_teclado
;servir.c,242 :: 		case  9: return 55; break; // 7
L_teclado88:
0x0171	0x3037      	MOVLW      55
0x0172	0x00F0      	MOVWF      R0
0x0173	0x29CB      	GOTO       L_end_teclado
;servir.c,243 :: 		case 10: return 56; break; // 8
L_teclado89:
0x0174	0x3038      	MOVLW      56
0x0175	0x00F0      	MOVWF      R0
0x0176	0x29CB      	GOTO       L_end_teclado
;servir.c,244 :: 		case 11: return 57; break; // 9
L_teclado90:
0x0177	0x3039      	MOVLW      57
0x0178	0x00F0      	MOVWF      R0
0x0179	0x29CB      	GOTO       L_end_teclado
;servir.c,245 :: 		case 12: return 67; break; // C
L_teclado91:
0x017A	0x3043      	MOVLW      67
0x017B	0x00F0      	MOVWF      R0
0x017C	0x29CB      	GOTO       L_end_teclado
;servir.c,246 :: 		case 13: return 42; break; // *
L_teclado92:
0x017D	0x302A      	MOVLW      42
0x017E	0x00F0      	MOVWF      R0
